Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",7,26,31,13,10,2,0,1,5,7,4,2,5,1,0,0,0,0,0,0.5,"Aaron Judge",15640,592450
"Vladimir Guerrero Jr.","TOR",11,43,51,19,10,3,0,6,11,12,6,4,3,1,1,0,0,0,0,0.441860465,"Vladimir Guerrero Jr.",19611,665489
"Ernie Clement","TOR",11,42,45,18,13,3,1,1,10,7,1,0,2,1,1,0,1,0,0,0.428571428,"Ernie Clement",20352,676391
"Nico Hoerner","CHC",8,31,33,13,11,1,0,1,4,2,0,0,2,1,1,0,1,1,1,0.419354838,"Nico Hoerner",21479,663538
"Trevor Story","BOS",3,13,13,5,4,0,0,1,2,3,0,0,4,0,0,0,0,1,0,0.384615384,"Trevor Story",12564,596115
"Spencer Steer","CIN",2,8,9,3,3,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0.375,"Spencer Steer",26323,668715
"Freddy Fermin","SDP",3,11,11,4,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.363636363,"Freddy Fermin",21840,666023
"J.T. Realmuto","PHI",4,17,17,6,2,2,1,1,3,3,0,0,3,0,0,0,0,0,0,0.352941176,"J.T. Realmuto",11739,592663
"Josh Naylor","SEA",12,47,51,16,11,2,0,3,7,5,4,0,6,0,0,0,1,2,0,0.340425531,"Josh Naylor",18839,647304
"Xander Bogaerts","SDP",3,12,12,4,3,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0.333333333,"Xander Bogaerts",12161,593428
"Nathan Lukes","TOR",11,39,42,13,10,3,0,0,3,7,3,0,5,0,0,0,1,0,0,0.333333333,"Nathan Lukes",18123,664770
"Alec Bohm","PHI",4,12,18,4,4,0,0,0,3,0,6,2,1,0,0,0,0,0,0,0.333333333,"Alec Bohm",21618,664761
"Jackson Merrill","SDP",3,9,12,3,0,2,0,1,2,2,1,0,2,0,1,1,1,0,0,0.333333333,"Jackson Merrill",29490,701538
"Javier Báez","DET",8,32,33,10,7,2,0,1,3,5,1,0,3,0,0,0,0,1,0,0.3125,"Javier Baez",12979,595879
"Enrique Hernández","LAD",10,36,40,11,7,4,0,0,7,4,4,0,9,0,0,0,0,0,0,0.305555555,"Enrique Hernandez",10472,571771
"Cal Raleigh","SEA",12,46,54,14,7,2,0,5,8,8,8,3,17,0,0,0,1,0,0,0.304347826,"Cal Raleigh",21534,663728
"Jackson Chourio","MIL",9,33,35,10,5,3,0,2,3,8,1,0,9,0,1,0,1,0,0,0.303030303,"Jackson Chourio",28806,694192
"Alex Bregman","BOS",3,10,13,3,2,1,0,0,0,1,3,0,2,0,0,0,1,0,0,0.3,"Alex Bregman",17678,608324
"Michael Busch","CHC",8,27,31,8,4,0,0,4,4,4,3,1,4,1,0,0,1,0,0,0.296296296,"Michael Busch",26319,683737
"Mookie Betts","LAD",10,41,46,12,7,4,1,0,2,6,4,0,4,1,0,0,2,0,0,0.292682926,"Mookie Betts",13611,605141
"Will Smith","LAD",8,28,32,8,8,0,0,0,4,2,3,1,10,1,0,0,1,0,0,0.285714285,"Will Smith",19197,669257
"Tommy Edman","LAD",9,35,36,10,7,1,0,2,3,6,1,0,12,0,0,0,0,0,0,0.285714285,"Tommy Edman",19470,669242
"Addison Barger","TOR",10,35,40,10,6,2,0,2,4,4,5,0,7,0,0,0,0,0,0,0.285714285,"Addison Barger",24598,680718
"Matt McLain","CIN",2,7,8,2,1,1,0,0,1,0,1,0,5,0,0,0,0,0,0,0.285714285,"Matt McLain",29695,680574
"Kerry Carpenter","DET",8,32,39,9,6,1,0,2,4,6,7,2,11,0,0,0,0,0,0,0.28125,"Kerry Carpenter",25961,681481
"Caleb Durbin","MIL",9,29,33,8,5,2,1,0,3,2,3,0,8,1,0,0,1,3,1,0.275862068,"Caleb Durbin",29646,702332
"Daulton Varsho","TOR",11,44,46,12,6,4,0,2,8,8,2,0,12,0,0,0,1,0,0,0.272727272,"Daulton Varsho",19918,662139
"Teoscar Hernández","LAD",10,41,43,11,6,1,0,4,5,11,2,0,11,0,0,0,1,0,0,0.268292682,"Teoscar Hernandez",13066,606192
"Andrés Giménez","TOR",11,38,43,10,7,1,0,2,7,8,2,0,5,1,0,2,0,1,0,0.263157894,"Andres Gimenez",19950,665926
"Kyle Tucker","CHC",8,27,32,7,6,0,0,1,5,1,5,0,5,0,0,0,0,0,1,0.259259259,"Kyle Tucker",18345,663656
"José Ramírez","CLE",3,8,12,2,2,0,0,0,1,1,4,1,2,0,0,0,0,0,1,0.25,"Jose Ramirez",13510,608070
"George Springer","TOR",11,46,53,11,2,5,0,4,11,9,5,0,11,1,1,0,1,0,0,0.239130434,"George Springer",12856,543807
"Trea Turner","PHI",4,17,19,4,4,0,0,0,1,3,2,0,5,0,0,0,0,2,0,0.235294117,"Trea Turner",16252,607208
"Gleyber Torres","DET",8,34,38,8,5,2,0,1,2,1,3,1,10,1,0,0,1,0,0,0.235294117,"Gleyber Torres",16997,650402
"William Contreras","MIL",9,34,37,8,5,1,0,2,5,3,3,0,7,0,0,0,2,0,0,0.235294117,"William Contreras",20503,661388
"Freddie Freeman","LAD",10,39,45,9,4,4,0,1,5,1,5,1,11,1,0,0,0,0,0,0.23076923,"Freddie Freeman",5361,518692
"Austin Wells","NYY",7,22,23,5,5,0,0,0,1,3,1,0,6,0,0,0,0,0,0,0.227272727,"Austin Wells",27562,669224
"Seiya Suzuki","CHC",8,31,32,7,1,3,0,3,4,5,1,0,10,0,0,0,1,0,0,0.225806451,"Seiya Suzuki",30116,673548
"Ryan O'Hearn","SDP",3,9,11,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.222222222,"Ryan O'Hearn",16442,656811
"Alejandro Kirk","TOR",11,45,49,10,5,2,0,3,7,7,4,0,7,0,0,0,1,0,0,0.222222222,"Alejandro Kirk",22581,672386
"Shohei Ohtani","LAD",10,41,48,9,3,0,1,5,7,9,7,4,17,0,0,0,0,1,0,0.219512195,"Shohei Ohtani",19755,660271
"Max Muncy","LAD",10,28,36,6,4,1,0,1,5,1,7,1,6,1,0,0,2,0,0,0.214285714,"Max Muncy",13301,571970
"Cody Bellinger","NYY",7,28,31,6,3,2,0,1,4,4,2,1,5,0,1,0,0,0,0,0.214285714,"Cody Bellinger",15998,641355
"Eugenio Suárez","SEA",12,47,51,10,6,1,0,3,4,8,4,0,18,0,0,0,2,0,0,0.212765957,"Eugenio Suarez",12552,553993
"Riley Greene","DET",8,33,35,7,4,2,0,1,4,2,2,1,9,0,0,0,0,0,0,0.212121212,"Riley Greene",25976,682985
"Jorge Polanco","SEA",12,48,52,10,6,1,0,3,7,8,4,0,12,0,0,0,1,0,0,0.208333333,"Jorge Polanco",13152,593871
"Julio Rodríguez","SEA",12,48,55,10,4,2,0,4,6,9,7,1,19,0,0,0,2,0,0,0.208333333,"Julio Rodriguez",23697,677594
"Bryce Harper","PHI",4,15,18,3,2,1,0,0,1,0,3,0,3,0,0,0,0,0,0,0.2,"Bryce Harper",11579,547180
"J.P. Crawford","SEA",12,40,47,8,6,1,0,1,3,4,4,0,7,0,2,1,1,0,0,0.2,"J.P. Crawford",15491,641487
"Gabriel Arias","CLE",3,10,10,2,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0.2,"Gabriel Arias",22563,672356
"Giancarlo Stanton","NYY",7,26,30,5,3,2,0,0,1,4,3,0,6,0,1,0,1,0,0,0.192307692,"Giancarlo Stanton",4949,519317
"Anthony Volpe","NYY",7,26,26,5,3,1,0,1,2,2,0,0,16,0,0,0,1,0,0,0.192307692,"Anthony Volpe",27647,683011
"Kyle Schwarber","PHI",4,16,18,3,0,1,0,2,2,3,2,0,8,0,0,0,0,0,0,0.1875,"Kyle Schwarber",16478,656941
"Randy Arozarena","SEA",12,48,56,9,7,1,0,1,10,2,4,0,19,4,0,0,1,5,0,0.1875,"Randy Arozarena",19290,668227
"Spencer Torkelson","DET",8,32,37,6,3,3,0,0,3,6,3,0,11,2,0,0,0,0,0,0.1875,"Spencer Torkelson",27465,679529
"Pete Crow-Armstrong","CHC",8,27,29,5,5,0,0,0,0,3,1,0,12,0,0,1,0,1,1,0.185185185,"Pete Crow-Armstrong",27769,691718
"Christian Yelich","MIL",9,33,38,6,5,1,0,0,3,0,5,0,9,0,0,0,0,1,0,0.181818181,"Christian Yelich",11477,592885
"Luis Arraez","SDP",3,11,12,2,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.181818181,"Luis Arraez",18568,650333
"Jazz Chisholm Jr.","NYY",7,22,25,4,3,0,0,1,3,1,3,0,5,0,0,0,1,0,0,0.181818181,"Jazz Chisholm Jr.",20454,665862
"Carson Kelly","CHC",8,28,30,5,4,0,0,1,2,1,1,1,12,1,0,0,0,0,0,0.178571428,"Carson Kelly",13620,608348
"Zach McKinstry","DET",8,29,34,5,5,0,0,0,2,3,4,0,10,0,0,1,0,1,0,0.172413793,"Zach McKinstry",19392,656716
"Max Kepler","PHI",4,12,15,2,0,1,1,0,3,0,3,0,2,0,0,0,0,1,0,0.166666666,"Max Kepler",12144,596146
"Steven Kwan","CLE",3,12,12,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.166666666,"Steven Kwan",24610,680757
"Dillon Dingler","DET",8,30,36,5,2,2,0,1,3,2,5,0,10,1,0,0,0,0,0,0.166666666,"Dillon Dingler",27464,693307
"Sal Frelick","MIL",9,31,34,5,4,1,0,0,2,1,2,0,5,0,1,0,1,1,0,0.161290322,"Sal Frelick",29622,686217
"Dansby Swanson","CHC",8,26,29,4,3,1,0,0,1,1,3,0,15,0,0,0,0,0,0,0.153846153,"Dansby Swanson",18314,621020
"Andrew Vaughn","MIL",9,26,30,4,2,0,0,2,4,4,4,0,2,0,0,0,1,0,0,0.153846153,"Andrew Vaughn",26197,683734
"Bryson Stott","PHI",4,13,14,2,2,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0.153846153,"Bryson Stott",26294,681082
"Tyler Stephenson","CIN",2,7,8,1,0,1,0,0,0,2,0,0,4,0,1,0,0,0,0,0.142857142,"Tyler Stephenson",17988,663886
"Austin Hays","CIN",2,7,8,1,1,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0.142857142,"Austin Hays",19363,669720
"Trent Grisham","NYY",7,29,32,4,2,2,0,0,4,0,3,0,10,0,0,0,0,1,0,0.137931034,"Trent Grisham",18564,663757
"Parker Meadows","DET",8,29,32,4,4,0,0,0,3,0,1,0,10,0,0,2,0,0,0,0.137931034,"Parker Meadows",23800,678009
"Nick Castellanos","PHI",4,15,15,2,0,2,0,0,1,3,0,0,3,0,0,0,1,0,0,0.133333333,"Nick Castellanos",11737,592206
"TJ Friedl","CIN",2,8,10,1,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0.125,"TJ Friedl",19522,670770
"Brice Turang","MIL",9,35,37,4,2,1,0,1,2,3,2,0,14,0,0,0,0,0,0,0.114285714,"Brice Turang",22186,668930
"Manny Machado","SDP",3,10,12,1,0,0,0,1,1,2,2,0,3,0,0,0,0,0,0,0.1,"Manny Machado",11493,592518
"Ian Happ","CHC",8,30,33,3,0,1,0,2,3,4,2,0,13,0,0,1,1,0,0,0.1,"Ian Happ",17919,664023
"Jarren Duran","BOS",3,11,12,1,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0.09090909,"Jarren Duran",24617,680776
"Kyle Manzardo","CLE",3,11,12,1,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0.09090909,"Kyle Manzardo",29794,700932
"Andy Pages","LAD",10,35,39,3,2,1,0,0,1,1,0,0,9,2,0,2,0,0,0,0.085714285,"Andy Pages",24816,681624
"Fernando Tatis Jr.","SDP",3,12,13,1,1,0,0,0,2,0,1,0,4,0,0,0,0,1,0,0.083333333,"Fernando Tatis Jr.",19709,665487
"Brandon Marsh","PHI",4,13,15,1,1,0,0,0,1,1,1,0,5,0,1,0,0,0,1,0.076923076,"Brandon Marsh",20202,669016
"Jake Cronenworth","SDP",3,11,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Jake Cronenworth",18036,630105
"Carlos Narváez","BOS",3,8,11,0,0,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,"Carlos Narvaez",19722,665966
"Ceddanne Rafaela","BOS",3,10,12,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,"Ceddanne Rafaela",24262,678882
"Elly De La Cruz","CIN",2,6,8,0,0,0,0,0,1,2,2,0,4,0,0,0,0,0,0,0,"Elly De La Cruz",26668,682829
