Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",1,0,1.7419355374593284,3,3,3,0,0,0,0,0,20.2,75,10,4,4,2,4,0,0,0,0,36,"Tarik Skubal",22267,669373
"Blake Snell","LAD",3,0,0.8571428571428571,3,3,3,0,0,0,0,0,21,72,6,2,2,0,5,0,0,0,0,28,"Blake Snell",13543,605483
"Trey Yesavage","TOR",2,1,4.200000267028826,3,3,0,0,0,0,0,0,15,61,10,7,7,2,7,1,1,1,0,22,"Trey Yesavage",35456,702056
"George Kirby","SEA",0,1,6,4,4,0,0,0,0,0,0,18,79,21,12,12,4,4,0,1,1,0,21,"George Kirby",25436,669923
"Freddy Peralta","MIL",1,2,4.695652563315065,3,3,0,0,0,0,0,0,15.1,64,12,8,8,5,6,0,1,0,0,19,"Freddy Peralta",18679,642547
"Shohei Ohtani","LAD",2,0,2.25,2,2,2,0,0,0,0,0,12,45,5,3,3,0,4,0,1,0,0,19,"Shohei Ohtani",19755,660271
"Tyler Glasnow","LAD",0,0,0.6750000643730225,3,2,1,0,0,0,1,0,13.1,54,7,1,1,0,8,0,0,0,0,18,"Tyler Glasnow",14374,607192
"Yoshinobu Yamamoto","LAD",2,1,1.8305085337528466,3,3,2,1,0,0,0,0,19.2,79,13,6,4,2,4,0,1,0,0,18,"Yoshinobu Yamamoto",33825,808967
"Jacob Misiorowski","MIL",2,1,1.5,3,0,0,0,0,0,0,0,12,46,7,3,2,1,3,0,0,0,0,16,"Jacob Misiorowski",31623,694819
"Shane Bieber","TOR",1,0,4.378378829788912,3,3,1,0,0,0,0,0,12.1,56,16,7,6,2,3,0,0,1,0,15,"Shane Bieber",19427,669456
"Logan Gilbert","SEA",1,1,4.2,4,3,1,0,0,0,0,0,15,69,19,9,7,2,3,1,1,0,0,14,"Logan Gilbert",22250,669302
"Cam Schlittler","NYY",1,1,1.255813981340408,2,2,2,0,0,0,0,0,14.1,56,13,4,2,0,0,0,0,1,0,14,"Cam Schlittler",32095,693645
"Cristopher Sánchez","PHI",0,0,2.2500001788139485,2,2,1,0,0,0,0,0,12,50,9,3,3,0,3,0,2,0,0,13,"Cristopher Sanchez",20778,650911
"Louis Varland","TOR",0,1,3.2727278402029976,10,1,0,0,0,0,2,0,11,43,8,4,4,4,1,0,1,0,0,13,"Louis Varland",27691,686973
"Kevin Gausman","TOR",2,1,2.0000002119276483,4,3,0,0,0,0,0,0,18,71,10,4,4,2,9,1,0,0,0,12,"Kevin Gausman",14107,592332
"Jack Flaherty","DET",0,1,3.6000003433227867,3,2,0,0,0,0,0,0,10,41,7,5,4,1,8,0,0,0,0,12,"Jack Flaherty",17479,656427
"Garrett Crochet","BOS",1,0,1.1739131408287662,1,1,1,0,0,0,0,0,7.2,26,4,1,1,1,0,0,0,0,0,11,"Garrett Crochet",27463,676979
"Chad Patrick","MIL",0,1,2.0000004238553415,6,0,0,0,0,0,1,0,9,31,3,2,2,2,1,0,0,0,0,11,"Chad Patrick",30113,694477
"Matthew Boyd","CHC",0,1,2.7931039075364588,3,3,0,0,0,0,0,0,9.2,45,10,7,3,0,5,0,0,0,0,9,"Matthew Boyd",15440,571510
"Nick Pivetta","SDP",0,1,3.6,1,1,0,0,0,0,0,0,5,18,3,2,2,2,0,0,0,0,0,9,"Nick Pivetta",15454,601713
"Will Vest","DET",1,0,0,5,0,0,0,0,1,0,0,8,27,2,0,0,0,0,0,1,0,0,9,"Will Vest",19769,676684
